source,region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,model
cases,Northern Ireland,2020-10-16,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-17,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-18,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-19,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-20,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-21,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-22,estimate,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-23,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-24,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-25,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-26,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-27,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-28,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-29,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-30,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
cases,Northern Ireland,2020-10-31,estimate based on partial data,0.9,0.9,0.06,0.81,0.86,0.88,0.91,0.94,0.99,single breakpoint
